id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado
186,2026-01-31,2129,30,8,3,1795.66,388.9,298913.7
191,2025-11-12,837,34,12,3,1076.04,173.48,144639.86
196,2025-06-14,1172,54,6,7,1568.46,283.24,87378.2
199,2025-07-31,1268,39,15,8,1558.42,251.72,191348.34
204,2025-11-27,2424,50,5,7,1.61432,388.18,80347.81
213,2025-07-12,214,28,8,11,192.43,45.37,21029.68
217,2025-11-06,432,3,15,10,1422.59,251.31,174594.04
221,2025-03-15,2725,80,11,1,61619.0,75.06,115464.32
226,2025-04-02,832,44,3,6,1664.22,213.11,43423.44
236,2025-07-10,2906,18,7,3,235.8,42.67,25121.58
253,2025-01-14,1563,59,10,10,792.74,145.28,71091.98
263,2025-04-16,828,38,15,7,961.19,172.58,65328.26
264,2025-04-11,2337,80,8,5,267.35,45.16,43006.11
266,2025-01-12,1750,12,5,5,46918.0,53.62,82199.39
269,2025-09-13,1685,65,8,1,0.0,132.5,112445.07
277,2025-06-04,2165,16,13,12,11344.0,11.06,22028.53
280,2025-06-22,1387,76,1,4,154.59,23.6,19097.08
285,2025-07-06,2457,37,9,5,1.15992,229.02,119625.01
297,2025-05-12,1573,79,4,10,1252.38,146.52,45753.53
305,2025-04-06,2007,76,12,12,142.86,161.2,8185.49
310,2025-07-25,355,53,6,6,1044.88,139.7,48271.62
316,2026-01-27,3776,1,6,8,1431.9,177.07,106644.92
323,2025-01-14,2484,29,7,1,1195.89,76.06,83832.92
327,2025-06-30,184,7,8,6,256.39,36.77,17389.16
351,2025-07-26,2186,22,15,4,615.15,97.58,115731.56
352,2025-09-02,335,32,13,3,69.55,5.42,4481.9
354,2025-10-04,2871,64,8,3,19633.0,27.44,15872.78
370,2025-02-03,185,3,5,7,53.79,2.82,3905.87
385,2025-02-19,2090,16,3,8,76605.0,50.66,127959.71
387,2025-07-14,48,63,2,4,1487.16,267.57,84325.7
395,2025-07-04,1038,46,12,4,1225.95,71.97,191272.59
399,2025-08-13,2988,14,9,4,308.81,24.4,44128.8
409,2025-04-12,686,26,1,9,-1075.26,65.95,105494.6
412,2026-01-28,2826,18,1,5,1596.8,373.29,219135.53
414,2025-08-15,2278,72,11,12,867.96,132.06,147649.9
415,2025-07-22,2645,56,8,11,344.91,46.82,65854.06
419,2025-03-01,111,71,13,6,942.78,142.54,116621.23
421,2025-11-23,1662,44,11,4,293.77,44.98,28807.95
423,2025-05-26,807,50,9,8,21077.0,41.24,35549.86
424,2026-02-14,1234,1,12,6,54719.0,68.36,60347.81
426,2026-01-01,897,74,14,10,1677.27,259.69,287389.71
427,2025-05-29,2943,35,9,5,1849.84,222.39,187959.06
477,2026-02-04,65,22,3,1,1.24884,137.09,133624.56
484,2025-10-06,2805,11,4,9,1966.19,303.27,243726.68
487,2025-06-15,777,20,1,10,1838.94,325.9,250058.9
498,2025-06-07,843,7,14,11,188.47,19.55,17873.98
499,2025-06-08,2487,14,15,3,1.60801,336.33,182343.65
513,2025-06-13,907,70,6,2,1.42897,129.1,270769.71
514,2026-01-18,687,3,5,1,1046.69,81.8,95894.63
515,2025-03-15,2136,23,11,7,1808.77,450.96,326950.13
516,2026-02-16,1576,7,4,4,1971.56,389.57,279818.51
517,2025-07-12,741,3,11,10,1840.16,124.09,192886.75
519,2025-04-14,1468,15,2,1,322.43,56.38,39773.58
520,2025-04-16,1496,9,5,11,1064.04,124.78,171718.88
522,2026-12-01,1045,18,8,12,1.76356,402.61,179266.06
525,2025-10-27,25,4,5,2,1.93864,162.8,343418.5
526,2026-02-08,284,65,10,8,1536.08,260.86,126568.35
534,2025-03-24,2027,7,5,12,449.49,73.78,76206.56
535,2025-10-03,1978,37,7,10,1837.59,373.45,73333.3
540,2025-11-29,2723,9,12,2,233.08,55.01,25744.38
542,2025-12-08,2720,77,5,1,1.67358,247.88,99356.05
550,2025-01-01,2740,18,1,4,1856.51,357.18,221118.7
561,2025-09-12,2867,25,1,9,244.84,21.87,15421.81
563,2025-01-29,1398,57,14,8,841.68,118.23,27662.38
576,2025-04-26,3728,26,15,3,1.03492,140.98,56238.72
580,2025-12-25,1660,40,10,1,1.05536,223.72,169828.64
584,2026-04-01,1556,18,15,5,591.04,143.55,56121.83
585,2025-06-28,230,23,15,11,583.92,133.94,93049.78
591,2025-01-25,2782,30,8,11,816.32,82.76,103919.46
610,2026-01-19,1252,20,8,4,1498.15,152.4,188713.37
613,2025-12-25,83,33,1,3,73288.0,176.49,22423.95
614,2026-02-02,3,57,2,3,1.76863,292.06,260328.94
619,2025-06-16,960,23,5,3,1273.06,229.64,183943.29
641,2025-12-06,1749,60,14,10,1292.44,294.27,124029.24
644,2025-05-07,1827,44,1,3,1990.49,361.62,226537.35
650,2025-09-16,2390,49,15,6,619.52,149.92,117620.78
660,2026-02-20,1890,50,5,12,859.64,159.62,162584.35
671,2025-01-26,2212,62,6,7,1493.07,319.17,283016.51
685,2025-06-21,46,8,11,11,620.06,154.51,86260.73
686,2025-11-10,3818,24,12,3,839.28,66.76,94857.83
690,2025-04-04,1981,67,15,6,487.57,79.88,81209.64
695,2025-02-28,68,37,2,6,165.57,23.74,31623.31
698,2025-11-29,1427,65,1,11,489.27,88.6,28382.47
704,2025-09-08,1148,47,1,9,166.86,27.17,18523.15
706,2025-05-26,1414,65,12,11,329.7,76.02,31168.43
711,2025-08-13,641,61,2,3,813.02,74.07,21034.0
720,2025-08-07,2627,13,13,4,707.83,170.65,30130.25
727,2025-04-21,3672,53,10,9,522.25,114.09,44237.52
733,2025-04-26,1495,77,6,2,970.09,132.36,82527.5
736,2025-09-27,1903,67,10,12,1.82472,428.64,231848.32
737,2025-04-02,1058,21,12,5,276.22,29.98,45596.72
742,2025-08-31,1299,38,11,7,1888.13,148.97,346893.42
750,2025-10-20,628,65,2,9,57046.0,111.8,51514.15
754,2025-12-19,1887,15,5,2,41949.0,87.35,45902.66
773,2025-02-13,1516,42,7,8,1605.25,170.35,195063.2
778,2025-07-06,985,14,6,1,906.43,197.27,156863.2
780,2025-10-31,1718,37,6,11,1034.9,238.56,54231.24
783,2026-02-14,2061,64,9,1,1305.84,189.76,83446.95
784,2025-09-29,186,42,4,5,1720.11,206.62,208688.06
785,2025-08-10,1742,52,13,1,1399.54,92.82,58344.65
810,2025-06-24,2223,6,14,5,1.66591,111.1,282220.24
811,2025-12-29,461,74,6,10,1.93566,442.98,359607.34
813,2025-07-18,2420,34,11,12,1399.88,186.19,55621.79
814,2026-02-11,475,39,9,9,1.66331,115.48,49887.65
819,2025-03-04,1881,11,6,1,107.13,15.95,2410.69
820,2025-08-31,2268,33,3,9,603.7,74.58,61685.84
826,2026-02-17,1423,70,14,7,1851.2,368.84,165565.53
833,2025-06-26,1290,29,3,1,772.38,60.25,90000.78
842,2025-11-09,67,34,1,1,1567.51,155.23,266958.76
849,2026-02-13,1113,69,4,4,547.21,125.87,42297.95
874,2025-06-15,1843,70,12,11,1836.94,406.66,241535.48
875,2025-04-04,1612,40,11,3,234.59,42.7,8016.21
879,2025-02-25,2781,76,9,11,487.84,73.85,41572.74
882,2025-07-14,1478,7,3,2,1615.12,339.75,260779.28
891,2026-07-01,571,76,11,8,985.4,108.56,155311.42
892,2025-10-11,1217,55,13,12,412.35,46.23,44262.23
899,2025-07-15,1828,67,2,5,84.64,6.93,9839.21
900,2025-08-04,1336,8,10,5,1356.71,113.33,225001.5
903,2025-08-11,2191,77,1,1,1.26608,276.99,122393.69
905,2025-10-11,630,36,11,1,547.14,98.22,58661.58
906,2025-04-12,343,47,2,12,1.58343,353.06,57993.95
914,2025-11-19,2621,47,14,9,1905.9,371.25,168663.17
917,2025-04-10,2390,71,12,2,1.60628,306.62,221424.14
926,2025-09-20,2933,34,3,2,1132.88,182.65,218574.95
928,2025-03-13,2024,41,9,9,1.12524,252.7,130472.96
929,2025-03-27,1624,12,9,10,250.7,433.51,15178.48
941,2025-09-07,1543,38,2,5,61837.0,48.56,119647.32
945,2025-12-05,2697,11,4,5,1.49886,209.87,80287.24
947,2026-01-25,2225,21,13,10,87541.0,159.49,73281.41
952,2025-05-29,77,14,12,7,1.29283,184.6,119370.4
966,2025-12-04,2375,24,6,12,1.03251,103.06,193961.45
969,2026-10-02,753,58,11,9,237.99,32.16,19683.43
971,2025-03-02,2782,74,5,7,1007.87,250.95,70400.82
976,2025-08-14,1195,40,9,10,1812.75,159.56,238384.37
985,2025-07-13,2974,7,9,12,1573.72,373.7,261731.15
991,2025-03-25,2205,80,15,12,591.77,64.87,71466.4
997,2025-12-21,1248,51,14,4,229.38,56.54,36697.87
1003,2025-02-17,2670,23,8,8,1.63764,320.4,280930.95
1014,2025-09-16,1236,78,8,6,79990.0,95.2,149053.6
1016,2026-01-07,2088,32,10,8,1.06094,55.62,184294.87
1022,2025-04-04,1815,44,7,6,313.6,59.65,7679.78
1023,2025-11-22,2150,29,3,2,69453.0,172.13,130767.04
1024,2025-10-09,1548,4,13,5,33932.0,75.15,21148.26
1036,2025-03-30,1301,59,8,7,1099.82,238.57,148711.35
1038,2025-11-26,400,80,10,7,1470.37,259.13,88295.75
1044,2025-05-16,2156,20,7,3,904.25,209.02,54421.46
1061,2025-02-14,1114,75,10,11,1528.09,376.13,271303.82
1065,2025-12-03,2527,17,6,6,1989.19,459.36,311684.97
1068,2025-09-06,1184,59,7,4,1907.66,460.53,362277.16
1075,2025-05-28,314,79,11,10,94752.0,229.64,97749.26
1082,2025-09-13,318,14,13,7,1987.94,421.83,206231.5
1099,2025-08-29,2966,21,7,2,1005.27,237.75,161375.41
1105,2025-10-15,1976,47,10,6,165.43,31.41,8822.35
1116,2025-12-24,788,10,12,5,1839.16,155.59,46968.57
1118,2025-08-01,64,56,8,6,1312.59,135.79,88833.75
1128,2025-10-15,739,32,13,7,801.42,172.89,71909.43
1130,2025-12-04,2684,62,7,8,471.89,62.48,75226.19
1133,2026-01-19,1180,9,14,3,559.44,74.72,50707.0
1143,2025-05-21,1443,25,15,10,1928.61,301.73,99748.79
1145,2025-01-07,650,37,15,10,373.58,55.08,70468.42
1154,2025-04-22,1594,9,5,3,1945.59,280.85,68516.48
1164,2025-04-06,2863,55,9,9,80121.0,156.08,106569.46
1165,2025-03-26,1259,57,13,8,252.02,30.29,29984.51
1166,2025-04-19,1549,61,14,2,507.37,78.9,55376.53
1172,2025-02-19,3614,39,6,4,1129.4,100.1,203458.76
1180,2025-01-20,1272,4,1,6,1380.2,261.41,243785.88
1183,2025-10-21,1240,70,11,4,1.58304,87.09,194086.75
1184,2025-01-10,2557,50,5,4,1236.51,151.82,212721.14
1190,2025-09-02,98,28,8,8,451.99,30.06,13249.5
1200,2025-10-21,2085,11,6,6,705.5,113.14,89409.43
1208,2025-07-03,2866,48,15,10,1463.7,142.12,218372.94
1209,2026-01-14,2546,61,5,11,649.42,146.46,81046.75
1213,2026-01-02,2085,78,5,3,588.55,139.74,58549.45
1216,2025-06-25,2712,57,10,8,1.29171,72.31,132853.4
1217,2025-01-11,292,63,4,2,1.56364,160.18,73871.74
1219,2025-11-29,1653,40,15,3,1.53063,305.78,90130.75
1222,2025-08-05,2984,45,1,7,1792.49,228.82,238591.06
1223,2025-05-09,2378,34,2,2,1.81567,100.68,47179.14
1226,2025-03-15,2300,60,5,10,1865.79,316.23,148974.56
1230,2025-04-11,2698,76,10,8,158.6,11.76,28404.16
1233,2026-01-31,1334,51,1,5,1097.72,251.86,92548.99
1243,2026-03-02,1238,43,14,3,412.07,50.22,27451.49
1250,2025-03-21,1216,78,2,7,35290.0,31.59,38657.11
1254,2026-01-24,1427,34,8,11,21597.0,26.28,14445.01
1257,2025-02-24,1239,42,4,12,865.55,60.56,51117.01
1258,2025-08-08,45,41,5,4,491.71,91.65,52680.81
1261,2025-09-09,1059,2,15,2,1234.69,97.25,105506.71
1265,2025-07-29,1013,66,6,9,1865.79,355.85,258138.96
1269,2025-06-08,2959,5,10,7,952.09,121.75,72388.09
1271,2025-09-02,2733,1,10,1,82070.0,148.64,129653.88
1277,2025-11-24,2319,32,14,5,1858.16,137.04,199489.12
1282,2025-11-07,182,77,11,1,1327.05,231.46,113779.99
1285,2025-09-10,1270,63,10,3,57.63,6.01,4953.81
1299,2025-10-03,2254,61,11,11,677.3,51.44,14401.14
1301,2025-08-20,2658,35,1,1,1701.45,208.31,184327.15
1312,2025-02-27,141,38,3,11,0.0,433.88,220877.81
1316,2025-01-06,1873,49,7,5,1452.12,257.36,203597.86
1318,2025-07-02,1113,75,5,12,1207.91,94.41,88242.37
1323,2025-05-21,402,24,5,8,318.02,30.5,55873.33
1324,2025-12-12,213,55,4,3,507.74,118.51,65368.28
1331,2025-01-26,601,39,14,2,1159.36,174.63,193327.62
1332,2025-10-20,2388,10,6,3,1.64143,259.49,58019.33
1335,2026-01-17,2840,70,5,6,1030.69,230.0,62703.97
1341,2025-05-20,940,62,2,10,1691.83,409.37,316119.38
1352,2026-02-14,2860,30,8,4,1943.64,138.22,184465.0
1354,2025-07-13,385,1,9,6,1583.56,335.96,43362.05
1357,2026-01-16,622,47,2,10,793.21,162.29,146092.38
1372,2026-01-16,2481,18,2,6,175.49,31.78,22576.41
1380,2026-01-10,35,5,12,11,1276.23,96.44,105102.21
1392,2026-12-01,1447,60,12,9,1636.58,214.02,49161.91
1395,2025-01-04,22,9,9,11,1388.48,71.57,156142.96
1400,2025-08-05,2701,48,2,2,1729.67,390.26,134374.35
1403,2025-04-22,2519,72,11,3,256.18,19.32,20337.04
1406,2026-02-02,1879,18,10,12,1463.65,358.41,278056.34
1408,2026-01-19,459,67,3,12,157.19,8.24,22136.77
1410,2025-09-13,2934,80,8,9,1120.76,277.51,92953.74
1423,2025-08-25,396,60,2,3,178.38,29.99,34629.66
1434,2025-01-11,2527,45,1,9,819.49,66.21,122538.47
1441,2025-05-31,2534,73,7,2,1.44584,213.21,216713.52
1447,2025-09-08,855,53,15,2,1319.04,82.76,59663.05
1449,2025-05-01,31,24,9,5,160.0,12.62,17670.8
1461,2026-02-18,469,45,11,11,1966.06,428.62,377346.56
1462,2025-02-01,1666,47,7,3,1825.86,234.03,212784.32
1466,2025-09-17,1186,61,4,5,648.1,159.18,80348.11
1468,2025-05-06,62,68,8,5,92162.0,51.17,93353.0
1475,2025-08-28,2923,22,4,11,1776.48,2341.78,228713.76
1480,2025-03-22,1914,33,15,1,1416.28,96.23,195234.95
1487,2025-02-02,2008,26,11,5,1.59002,213.06,275026.83
1495,2025-10-19,2341,78,10,4,1.35237,324.76,270128.26
1508,2025-01-27,1264,31,8,8,1846.01,295.49,96754.52
1526,2025-06-08,2769,72,11,5,1628.5,281.54,68730.88
1540,2025-05-22,1474,1,1,5,252.79,31.04,35388.48
1546,2025-12-22,1871,12,14,3,1671.82,189.79,322752.21
1562,2025-08-17,1718,9,8,1,1213.55,151.02,44514.39
1565,2025-02-28,1848,41,9,10,398.8,93.4,23202.3
1574,2025-11-18,2523,65,11,8,1265.88,197.89,214633.24
1585,2025-09-02,2517,7,13,1,451.0,36.84,67905.76
1586,2025-05-12,2179,40,7,5,1.99325,187.06,318442.34
1588,2025-05-19,844,12,15,3,1376.68,310.93,64519.62
1590,2025-03-06,1921,42,11,10,1929.35,123.25,118655.81
1596,2025-03-07,226,46,4,3,1.51211,88.46,189858.6
1598,2025-10-18,181,51,7,6,163.66,21.37,18911.5
1610,2026-02-01,2980,77,10,12,1247.59,62.45,181067.31
1624,2025-10-03,1738,48,14,10,927.34,169.45,71920.47
1625,2025-06-12,140,53,9,3,424.68,83.32,68144.81
1626,2025-10-15,2049,52,14,6,925.15,128.92,125875.46
1631,2025-03-14,2586,51,8,3,56869.0,85.92,50214.54
1635,2026-02-11,1236,80,2,6,1328.97,174.41,32202.48
1650,2025-10-23,2406,48,6,1,1.51931,274.11,195476.31
1656,2026-02-08,2509,33,15,4,379.23,78.87,23423.44
1669,2025-09-26,192,78,15,2,115.25,5.89,14473.14
1673,2025-08-25,2090,14,13,3,1549.48,2385.28,183915.49
1675,2025-01-03,678,57,8,7,242.08,29.66,8997.29
1683,2025-04-20,829,17,11,11,1.81885,109.69,142549.06
1686,2025-09-24,1913,9,7,7,428.51,73.83,64001.48
1690,2025-11-20,1821,44,7,6,1960.01,415.59,293611.76
1691,2025-02-16,1649,50,5,4,1976.69,360.58,108066.89
1693,2025-01-25,2599,15,12,2,1022.39,206.41,148052.79
1711,2025-06-23,909,33,11,4,891.72,90.68,86778.83
1720,2025-11-09,2412,21,3,10,27354.0,49.01,27928.09
1722,2025-08-28,1557,63,14,8,592.42,80.97,37655.44
1728,2025-07-29,2843,37,3,6,585.3,108.5,83235.51
1743,2025-03-20,2772,6,8,10,1.28237,103.81,150515.81
1744,2025-08-19,2936,32,15,8,344.89,22.68,59733.52
1745,2025-05-31,1966,32,6,2,134.11,17.93,19953.57
1757,2026-01-26,2038,62,13,4,809.7,1411.93,51381.92
1760,2025-03-24,1818,67,15,8,1.43257,311.27,103474.42
1761,2025-07-20,2286,50,8,10,-1552.88,309.24,66184.0
1775,2025-06-17,2921,52,1,12,310.84,67.6,19315.0
1779,2025-12-31,1718,66,11,1,1266.58,146.93,49244.4
1786,2025-06-14,851,34,8,10,924.5,175.26,33078.64
1787,2025-07-24,1677,12,8,9,75.5,14.61,12721.7
1797,2026-01-17,2602,55,1,5,1.88776,119.57,362671.73
1800,2025-07-14,1029,67,11,8,32635.0,32.0,51097.71
1807,2025-10-25,719,64,8,6,94.96,16.2,4402.06
1808,2025-07-17,238,79,15,6,39065.0,59.32,15007.25
1811,2026-02-16,1766,46,5,11,1600.17,354.1,293683.36
1814,2025-07-25,2482,49,15,2,218.47,35.17,28285.62
1817,2025-12-08,1013,23,8,12,255.47,60.84,37165.85
1818,2026-02-18,831,39,9,10,1149.19,246.71,35691.62
1823,2025-12-08,2122,36,6,9,637.57,54.42,31298.84
1824,2025-03-06,1376,23,8,10,424.3,82.88,70914.33
1827,2025-09-24,2535,66,14,11,1317.7,313.68,72329.03
1832,2025-12-23,662,77,7,8,1019.78,151.25,78262.43
1833,2025-08-03,1639,30,4,5,410.3,62.54,10767.82
1843,2026-02-15,2054,73,11,4,1317.01,73.74,53666.7
1847,2025-10-02,2203,54,5,9,1403.23,149.43,278295.86
1853,2025-01-10,818,58,12,9,66.67,6.25,2288.15
1859,2025-07-10,606,56,9,4,220.73,35.26,31738.2
1868,2026-02-11,2906,70,11,2,163.19,11.21,31636.45
1870,2025-01-13,1494,36,7,10,9691.0,21.19,10764.53
1884,2025-06-27,333,72,15,11,12417.0,26.92,20466.14
1891,2025-04-26,588,63,2,5,792.65,94.91,57831.15
1899,2025-06-28,2382,78,3,6,8471.0,11.51,4596.04
1901,2025-03-05,272,7,3,7,75000.0,85.47,149647.47
1903,2025-05-24,1948,77,15,4,759.5,132.29,125741.94
1904,2025-11-02,2153,69,10,11,1788.82,422.09,272312.78
1905,2025-12-26,2634,59,11,8,1976.59,331.95,328194.9
1906,2025-10-29,1870,77,2,12,898.63,127.64,42295.24
1912,2025-01-05,2668,72,5,2,1433.21,344.96,88369.28
1919,2025-12-26,1759,53,9,1,1005.73,227.23,40842.72
1923,2025-04-01,1670,19,9,10,1627.39,202.04,317490.83
1944,2025-12-23,1839,76,11,2,1.58547,124.76,94594.72
1946,2025-12-13,1224,53,12,2,85.68,16.13,7710.95
1951,2025-01-18,276,39,7,2,1.85968,267.65,359624.6
1957,2025-08-05,289,51,1,5,83757.0,83.13,149221.27
1959,2025-03-28,1978,66,5,12,190.64,41.81,26704.85
1967,2025-11-25,1070,28,10,11,1919.19,289.38,154761.48
1970,2025-05-04,2285,29,4,7,807.81,143.68,128602.86
1976,2025-06-25,2594,55,12,8,1177.32,199.11,122897.77
1985,2025-06-06,2629,15,5,5,314.28,19.25,35000.73
1987,2025-02-11,1777,62,2,3,508.66,52.42,73941.02
1988,2025-07-03,2236,14,14,4,872.75,114.8,43170.45
1990,2025-05-14,2852,57,5,1,1.98222,284.81,286009.78
1991,2025-07-17,366,77,7,3,220.74,18.55,43252.05
2001,2026-01-17,2360,79,9,2,1798.58,409.57,58473.5
2002,2025-02-17,1583,61,3,8,154.29,12.19,11208.34
2005,2025-04-29,2079,61,11,7,0.0,56.32,129955.91
2008,2025-05-11,170,23,6,12,1135.0,171.67,96772.05
2026,2025-08-21,352,79,1,6,1805.74,278.42,122328.87
2031,2025-11-05,967,48,4,6,735.47,75.42,112737.46
2035,2025-09-05,1764,22,10,12,1630.18,137.15,61431.25
2036,2025-09-23,563,39,14,2,1362.77,217.38,115429.34
2043,2025-12-13,217,16,15,5,395.95,92.56,32119.91
2051,2025-10-20,1693,20,14,1,118.78,10.27,7178.45
2053,2025-07-17,1718,18,5,5,-491.89,73.24,77321.52
2054,2025-05-22,2532,14,4,6,1.32993,193.26,228828.45
2056,2025-08-11,304,80,1,1,1531.93,326.95,39181.21
2057,2025-07-19,1630,18,6,11,1185.26,290.73,124161.26
2058,2026-01-12,719,63,5,11,339.69,83.67,44824.5
2063,2025-04-10,2182,10,3,4,88001.0,215.53,106447.18
2064,2025-05-07,2690,75,6,12,371.84,42.59,25141.34
2084,2025-09-01,160,9,6,11,377.98,75.16,54240.77
2088,2025-02-08,2685,57,5,9,1.76612,148.61,89679.77
2090,2025-01-14,342,9,7,11,123.7,8.67,20297.21
2098,2025-04-24,2610,36,13,12,1442.43,177.06,108750.93
2099,2025-04-17,988,46,15,8,745.55,123.5,110518.77
2104,2026-01-27,1047,12,1,9,146.41,17.8,28453.06
2106,2026-10-02,2860,13,6,6,1825.33,221.52,238312.98
2108,2025-02-06,1176,35,14,12,1432.05,106.29,178029.64
2113,2025-08-06,253,4,8,5,1.05565,247.32,182688.17
2117,2025-06-07,2005,3,2,11,20493.0,13.67,11360.18
2120,2025-04-29,1332,6,7,9,1058.23,98.47,133917.06
2121,2025-04-11,2224,19,4,10,26382.0,20.44,19317.12
2124,2025-02-26,2964,30,7,5,65492.0,91.09,32053.09
2125,2025-10-12,725,26,2,11,1203.47,150.92,126268.72
2135,2025-06-20,2059,34,15,1,700.67,170.58,22431.94
2143,2025-05-20,828,67,10,4,67649.0,47.52,36683.98
2147,2025-08-26,2672,71,5,6,936.41,202.41,62928.36
2153,2025-07-01,1177,69,9,2,1458.35,283.24,158384.3
2158,2025-07-15,124,63,13,1,393.23,69.54,23062.07
2162,2025-06-29,58,37,5,7,378.3,20.79,60366.6
2163,2026-01-29,1179,13,8,1,0.0,14.46,15257.58
2165,2025-08-13,577,36,3,1,980.87,95.14,189390.39
2167,2025-12-20,1593,45,2,7,1798.24,373.21,225173.61
2171,2025-05-25,14,36,15,7,787.02,43.71,24744.99
2174,2025-06-09,260,42,14,12,361.87,29.35,58973.74
2178,2026-01-21,1606,26,3,6,1767.92,275.06,172569.6
2180,2026-01-14,622,10,14,2,199.36,30.56,5062.46
2184,2025-08-03,1071,35,3,4,1329.37,315.07,153324.29
2217,2026-01-02,2213,41,15,9,1793.35,191.21,96108.85
2219,2025-11-22,1326,16,12,11,1257.11,139.46,184977.92
2224,2025-02-19,936,3,6,10,928.55,106.07,52356.72
2227,2025-06-25,2215,34,9,2,1.26468,67.75,28286.13
2241,2025-06-26,1703,24,12,9,452.09,67.51,71700.65
2243,2025-11-09,2954,70,11,11,15799.0,29.32,6262.35
2244,2025-06-06,1758,4,4,7,1759.11,159.27,88677.1
2258,2025-05-19,837,16,14,7,349.45,29.86,52713.97
2262,2025-07-05,2664,55,4,4,0.0,106.45,155694.78
2263,2025-04-27,1635,64,3,7,1.0323,142.7,206149.66
2265,2025-10-13,913,75,3,2,1635.97,368.77,265256.79
2279,2025-01-11,1133,58,12,4,347.06,51.42,66930.23
2287,2025-10-20,524,12,6,8,1979.26,299.6,330699.45
2293,2026-02-08,490,68,11,7,321.06,54.71,33380.48
2302,2025-02-27,826,54,14,10,129.1,18.77,21092.15
2314,2025-07-14,1297,71,5,2,1499.4,133.91,31765.97
2317,2025-11-25,2156,11,12,8,952.34,158.39,129671.99
2319,2025-10-15,2693,8,15,2,1277.83,106.43,56885.27
2321,2025-09-19,1522,16,2,12,173.27,39.05,32861.94
2342,2025-03-17,2699,27,2,11,72596.0,52.28,129061.25
2343,2025-11-13,241,76,12,4,1400.27,184.79,209277.57
2346,2025-08-20,444,63,6,7,786.92,146.68,60136.83
2348,2025-03-10,1074,74,15,8,844.59,203.24,135392.32
2356,2025-02-26,1991,12,7,10,1.2005,262.24,85949.38
2362,2025-06-07,189,44,5,7,607.06,91.95,47843.66
2364,2025-02-11,554,69,4,10,37842.0,28.33,18064.14
2365,2026-05-02,2031,33,4,3,80400.0,126.48,121291.05
2375,2026-01-26,2258,40,2,1,1428.64,140.8,95530.51
2376,2025-08-22,936,70,3,3,1279.93,262.3,34655.18
2379,2025-03-16,1816,48,4,3,1254.5,160.22,90548.08
2389,2026-04-02,2728,37,12,10,1760.09,163.39,166739.62
2392,2025-05-21,581,17,4,5,1.82172,138.86,173431.27
2394,2025-11-12,2198,66,15,10,1772.74,336.14,216414.91
2398,2025-05-31,1853,72,3,1,143.24,12.65,19956.82
2399,2025-03-08,2767,34,3,1,1899.59,254.37,163371.1
2401,2025-11-23,378,17,15,2,1688.28,382.08,88614.88
2415,2025-02-27,2783,73,12,8,1260.0,294.4,196370.23
2419,2025-05-17,510,14,3,2,1942.48,334.14,380806.14
2422,2025-11-19,2987,2,5,10,1477.78,276.9,233906.88
2427,2025-02-07,2063,72,10,1,890.16,205.9,73916.43
